codigo,Nombre,Barras,Tarima,Estiba,masterPack
HG157C5,Estufa de Panel 4 hornillas de lujo para gas de 61*52cm Plata,7.50305E+12,64,64,N/A
HG158C1,Estufa de Panel 4 hornillas de lujo para gas de 58*50cm MSG-6058 Negra,7.50305E+12,60,60,N/A
HG161C6,Enfriador de Aire Blanco,7.50305E+12,30,30,N/A
HG162C1,Estufa de Panel 5 hornillas de lujo para gas de 76*50cm MSG-7821 Negra,7.50305E+12,39,39,N/A
HG162C5,Estufa de Panel 5 hornillas de lujo para gas de 86*50cm MSD-8606 Plata,7.50305E+12,51,51,N/A
HG166C1,Parrilla BBQ recubierta con Porcelana de 43*36*35.5cm Negra,7.50305E+12,150,150,N/A
HG166C12,Parrilla BBQ recubierta con Porcelana de 43*36*35.5cm Roja,7.50305E+12,150,150,N/A
HG166C8,Parrilla BBQ recubierta con Porcelana de 43*36*35.5cm Azul,7.50305E+12,150,150,N/A
HG16C1,Gancho para Ropa de Terciopelo Negro,7.50304E+12,90,90,N/A
HG170C1,Mesa de Centro Cuadrada de 40*40*53cm Negra,7.50305E+12,180,180,N/A
HG170C4,Mesa de Centro Cuadrada de 40*40*53cm Gris,7.50305E+12,180,180,N/A
HG170C17,Mesa de Centro Cuadrada de 40*40*53cm Cafe,7.50305E+12,180,180,N/A
HG170C6,Mesa de Centro Cuadrada de 40*40*53cm Blanca,7.50305E+12,180,180,N/A
HG171C1,Mesa de Centro Cuadrada de 60*30*53cm Negra,7.50305E+12,180,180,N/A
HG171C17,Mesa de Centro Cuadrada de 60*30*53cm CafǸ,7.50305E+12,180,180,N/A
HG171C6,Mesa de Centro Cuadrada de 60*30*53cm Blanca,7.50305E+12,180,180,N/A
HG174C1,Set de Dos Bancos de Plastico Transparente para Bar Acolchonados Negro,7.50305E+12,35,35,N/A
HG174C4,Set de Dos Bancos de Plastico Transparente para Bar Acolchonados Gris,7.50305E+12,35,35,N/A
HG174C6,Set de Dos Bancos de Plastico Transparente para Bar Acolchonados Blanco,7.50305E+12,35,35,N/A
HG175C1,Set de dos Bancos Bar de Vinipiel Rayas Negro,7.50305E+12,20,20,N/A
HG17C6,Almohada de Memory Foam con Estuche Blanca,7.50304E+12,324,36,9
HG20C1,,,,,
HG21C1,Estufa una Hornilla Cartucho de Gas Negra,7.50304E+12,160,16,10
HG21C12,Estufa una Hornilla Cartucho de Gas Negra,7.50304E+12,160,16,10
HG22C5,Ventilador 3 Posiciones 18in Plata,7.50304E+12,32,32,N/A
HG23C12,,,,,
HG23C18,,,,,
HG23C2,,,,,
HG23C20,,,,,
HG23C36,Sabanas Matrimoniales con dise��o 4-6 Gris,7.50304E+12,336,28,12
HG23C4,,,,,
HG24C1,,,,,
HG24C12,,,,,
HG24C18,,,,,
HG24C2,,,,,
HG24C20,,,,,
HG24C4,,,,,
HG25C2,,,,,
HG25C4,,,,,
HG25C8,,,,,
HG26C1,Set de 2 Camastros de Tela Negro,7.50304E+12,18,18,N/A
HG26C4,Set de 2 Camastros de Tela Gris,7.50304E+12,18,18,N/A
HG39C1,Sabanas Matrimoniales Lisas Negras,7.50304E+12,480,40,12
HG39C22,Sabanas Matrimoniales Lisas Rosa,7.50304E+12,480,40,12
HG39C3,Sabanas Matrimoniales Lisas Gris Claro,7.50304E+12,480,40,12
HG39C30,Sabanas Matrimoniales Lisas Crema,7.50304E+12,480,40,12
HG39C6,Sabanas Matrimoniales Lisas Blancas,7.50304E+12,480,40,12
HG39C8,Sabanas Matrimoniales Lisas Azul,7.50304E+12,480,40,12
HG39C9,Sabanas Matrimoniales Lisas Marino,7.50304E+12,480,40,12
HG40C1,Mesa Plegable de Plastico dde 1.80m Negra,7.50304E+12,45,45,N/A
HG40C6,Mesa de Plastico Plegable 1.80m Blanca,7.50304E+12,45,45,N/A
HG45C1,Mesa 1.20 m Negro,7.50304E+12,84,84,N/A
HG45C5,Mesa Metalica Plegable de 1.20 Plata,7.50304E+12,84,84,N/A
HG48C6,Set de Vajilla Opal de 16 pzas. Blanca,7.50304E+12,84,48,2
HG49C22,Sabanas Queen Lisas Rosa de 52*33*37 cm,7.50304E+12,560,28,20
HG4C1,Parrilla ElǸctrica Dos Honillas Negra de 45*21*51 cm,7.50304E+12,180,30,6
HG4C6,Parrilla ElǸctrica Dos Honillas Blanca de 45*21*51 cm,7.50304E+12,180,30,6
HG50C1,Sabanas King Lisas Negra de 52*43*33 cm,7.50304E+12,200,10,20
HG50C22,Sabanas King Lisas Rosa de 52*43*33 cm,7.50304E+12,560,28,20
HG52C1,Cajonera de Plǭstico 12 pzas Negro,7.50304E+12,150,150,N/A
